No;name;latitude;longitude
1;Aceh;4.695135;96.7493993
2;Bali;-8.4095178;115.188916
3;Banten;-6.4058172;106.0640179
4;Bengkulu;-3.5778471;102.3463875
5;DI Yogyakarta;-7.8753849;110.4262088
6;DKI Jakarta;-6.211544;106.845172
7;Gorontalo;0.6999372;122.4467238
8;Jambi;-1.4851831;102.4380581
9;Jawa Barat;-7.090911;107.668887
10;Jawa Tengah;-7.150975;110.1402594
11;Jawa Timur;-7.5360639;112.2384017
12;Kalimantan Barat;-0.2787808;111.4752851
13;Kalimantan Selatan;-3.0926415;115.2837585
14;Kalimantan Tengah;-1.6814878;113.3823545
15;Kalimantan Timur;1.6406296;116.419389
16;Kalimantan Utara;2.8753;117.368
17;Kepulauan Bangka Belitung;-2.7410513;106.4405872
18;Kepulauan Riau;3.9456514;108.1428669
19;Lampung;-4.5585849;105.4068079
20;Maluku;-3.2384616;130.1452734
21;Maluku Utara;1.5709993;127.8087693
22;Nusa Tenggara Barat;-8.6529334;117.3616476
23;Nusa Tenggara Timur;-8.6573819;121.0793705
24;Papua;-4.269928;138.0803529
25;Papua Barat;-1.3361154;133.1747162
26;Riau;0.2933469;101.7068294
27;Sulawesi Barat;-2.8441371;119.2320784
28;Sulawesi Selatan;-3.6687994;119.9740534
29;Sulawesi Tengah;-1.4300254;121.4456179
30;Sulawesi Tenggara;-4.14491;122.174605
31;Sulawesi Utara;0.6246932;123.9750018
32;Sumatera Barat;-0.7399397;100.8000051
33;Sumatera Selatan;-3.3194374;103.914399
34;Sumatera Utara;2.1153547;99.5450974